# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	1.00437397e+00	5.02802129e-01	5.01571843e-01	-1.87976746e-02	-2.99157370e-03	-1.58061009e-02	6.40726360e-03	6.15142845e-04	-4.90127293e-03	6.69037596e-04	-4.56675413e-03	5.23579172e-03
20              	1.97331079e+00	9.87825729e-01	9.85485064e-01	-1.34569988e-02	-5.86090442e-03	-7.59609435e-03	8.67594964e-04	1.17033258e-03	-2.59815435e-03	-2.64928346e-03	-3.92279608e-03	1.27351263e-03
30              	4.63219893e-01	2.32519708e-01	2.30700184e-01	-5.05331827e-03	-3.42613384e-03	-1.62718443e-03	-8.99474705e-04	9.09761817e-04	-1.26651974e-03	-2.13052446e-03	-2.33178197e-03	2.01257505e-04
40              	7.66594480e-01	3.83735098e-01	3.82859382e-01	8.46050684e-03	4.78848024e-03	3.67202660e-03	5.58226820e-04	4.37857917e-04	2.57779711e-03	8.58839007e-03	6.87199215e-03	1.71639792e-03
50              	7.22443571e-01	3.59727263e-01	3.62716309e-01	1.79996618e-02	8.88560965e-03	9.11405215e-03	-1.14221251e-04	-1.49452297e-03	2.38920597e-03	-3.86922058e-03	4.54595678e-04	-4.32381625e-03
60              	7.67467642e-01	3.83937494e-01	3.83530147e-01	1.11250557e-02	5.74190458e-03	5.38315117e-03	1.79376704e-04	2.03673486e-04	7.04307566e-04	-9.92979919e-03	-4.26059203e-03	-5.66920716e-03
70              	7.85067007e-01	3.92948036e-01	3.92118972e-01	6.95358713e-03	4.46237066e-03	2.49121647e-03	9.85577094e-04	4.14531920e-04	-2.27127061e-03	-1.65446355e-02	-1.05435884e-02	-6.00104714e-03
80              	8.07222657e-01	4.03687103e-01	4.03535554e-01	2.79849008e-03	2.77279673e-03	2.56933540e-05	1.37355169e-03	7.57743260e-05	-5.75513467e-03	-1.85341231e-02	-1.50221962e-02	-3.51192689e-03
90              	7.97404951e-01	3.98832032e-01	3.98572920e-01	-7.04699766e-04	1.49350195e-03	-2.19820171e-03	1.84585183e-03	1.29556171e-04	-8.47551147e-03	-1.67465245e-02	-1.68487737e-02	1.02249199e-04
100             	8.17285516e-01	4.08636322e-01	4.08649194e-01	-2.90320031e-03	8.41598651e-04	-3.74479896e-03	2.29319881e-03	-6.43636528e-06	-9.44126017e-03	-1.51277286e-02	-1.70051245e-02	1.87739589e-03
110             	8.20747407e-01	4.10253077e-01	4.10494329e-01	-3.98499874e-03	2.83973189e-04	-4.26897193e-03	2.27647256e-03	-1.20625913e-04	-1.00900286e-02	-1.36030922e-02	-1.68915747e-02	3.28848250e-03
120             	8.23968249e-01	4.11786137e-01	4.12182111e-01	-4.63574205e-03	-2.56201466e-04	-4.37954059e-03	2.06166956e-03	-1.97987002e-04	-9.94842663e-03	-1.28689258e-02	-1.63828895e-02	3.51396372e-03
130             	8.33029067e-01	4.16206269e-01	4.16822798e-01	-5.04358514e-03	-5.48439361e-04	-4.49514578e-03	1.97335321e-03	-3.08264509e-04	-9.21636963e-03	-1.25607141e-02	-1.54967267e-02	2.93601259e-03
140             	8.40383970e-01	4.19781250e-01	4.20602720e-01	-5.15744476e-03	-6.96649485e-04	-4.46079528e-03	1.88207290e-03	-4.10735218e-04	-8.45135652e-03	-1.24647099e-02	-1.46837115e-02	2.21900158e-03
150             	8.46746030e-01	4.22917710e-01	4.23828320e-01	-5.30379283e-03	-9.25978588e-04	-4.37781424e-03	1.72591782e-03	-4.55304920e-04	-7.82357742e-03	-1.26449679e-02	-1.41460614e-02	1.50109345e-03
160             	8.53083546e-01	4.26035562e-01	4.27047984e-01	-5.25981324e-03	-1.07162414e-03	-4.18818910e-03	1.55828248e-03	-5.06210844e-04	-7.24543160e-03	-1.30356653e-02	-1.37632642e-02	7.27598966e-04
170             	8.59241083e-01	4.29051639e-01	4.30189444e-01	-5.03457195e-03	-1.07544578e-03	-3.95912618e-03	1.44184020e-03	-5.68902168e-04	-6.75104274e-03	-1.32631963e-02	-1.33826409e-02	1.19444583e-04
180             	8.65861968e-01	4.32312510e-01	4.33549458e-01	-4.84492477e-03	-1.05643978e-03	-3.78848499e-03	1.36602261e-03	-6.18474255e-04	-6.40166302e-03	-1.34251552e-02	-1.31142406e-02	-3.10914572e-04
190             	8.72279867e-01	4.35507606e-01	4.36772261e-01	-4.79066398e-03	-1.09653556e-03	-3.69412842e-03	1.29879643e-03	-6.32327671e-04	-6.14979444e-03	-1.36464245e-02	-1.29730067e-02	-6.73417825e-04
200             	8.78636446e-01	4.38690221e-01	4.39946225e-01	-4.86679862e-03	-1.18876916e-03	-3.67802946e-03	1.24463015e-03	-6.28001965e-04	-5.93608600e-03	-1.39815322e-02	-1.29268521e-02	-1.05468012e-03
210             	8.85054518e-01	4.41926484e-01	4.43128034e-01	-4.61828536e-03	-1.12028122e-03	-3.49800414e-03	1.18886146e-03	-6.00774853e-04	-5.72388893e-03	-1.43940938e-02	-1.29209358e-02	-1.47315797e-03
220             	8.91374250e-01	4.45111224e-01	4.46263026e-01	-4.26110521e-03	-9.89820168e-04	-3.27128504e-03	1.14073244e-03	-5.75900764e-04	-5.51629328e-03	-1.46023756e-02	-1.28174811e-02	-1.78489453e-03
230             	8.97690558e-01	4.48292387e-01	4.49398170e-01	-4.00567311e-03	-9.21741613e-04	-3.08393150e-03	1.08109494e-03	-5.52891614e-04	-5.33199039e-03	-1.45621727e-02	-1.26130768e-02	-1.94909599e-03
240             	9.04089623e-01	4.51510608e-01	4.52579015e-01	-3.80917686e-03	-8.88388882e-04	-2.92078797e-03	1.01619955e-03	-5.34203451e-04	-5.14919667e-03	-1.45792411e-02	-1.24388172e-02	-2.14042387e-03
250             	9.10620194e-01	4.54786912e-01	4.55833282e-01	-3.61003349e-03	-8.60598813e-04	-2.74943468e-03	9.44417934e-04	-5.23185316e-04	-4.96187907e-03	-1.48040401e-02	-1.23638991e-02	-2.44014100e-03
260             	9.17250802e-01	4.58094968e-01	4.59155834e-01	-3.49450499e-03	-8.69154501e-04	-2.62535049e-03	8.78097994e-04	-5.30432557e-04	-4.77012868e-03	-1.51444115e-02	-1.23423344e-02	-2.80207708e-03
270             	9.23949907e-01	4.61415741e-01	4.62534166e-01	-3.46422859e-03	-9.10491738e-04	-2.55373685e-03	8.21622556e-04	-5.59212158e-04	-4.59213920e-03	-1.55832348e-02	-1.23837566e-02	-3.19947818e-03
280             	9.30674516e-01	4.64724148e-01	4.65950368e-01	-3.36181454e-03	-8.95826688e-04	-2.46598785e-03	7.85080581e-04	-6.13110198e-04	-4.42277035e-03	-1.59562575e-02	-1.24008991e-02	-3.55535838e-03
290             	9.37346405e-01	4.68001134e-01	4.69345271e-01	-3.25965081e-03	-8.63115359e-04	-2.39653545e-03	7.66710044e-04	-6.72068533e-04	-4.26860761e-03	-1.61937932e-02	-1.23655042e-02	-3.82828901e-03
300             	9.43853829e-01	4.71211649e-01	4.72642180e-01	-3.26896992e-03	-8.63178789e-04	-2.40579113e-03	7.71306171e-04	-7.15265696e-04	-4.13200665e-03	-1.64577779e-02	-1.23608956e-02	-4.09688231e-03
310             	9.50360784e-01	4.74428401e-01	4.75932383e-01	-3.30036721e-03	-8.62813323e-04	-2.43755389e-03	7.87370283e-04	-7.51990954e-04	-3.99795328e-03	-1.66688936e-02	-1.23324001e-02	-4.33649352e-03
320             	9.56907475e-01	4.77664628e-01	4.79242847e-01	-3.30674854e-03	-8.51456996e-04	-2.45529154e-03	8.01917272e-04	-7.89109300e-04	-3.87765460e-03	-1.66271934e-02	-1.21912513e-02	-4.43594212e-03
330             	9.63492720e-01	4.80921416e-01	4.82571304e-01	-3.18492098e-03	-7.95894109e-04	-2.38902687e-03	7.96566380e-04	-8.24943944e-04	-3.76578010e-03	-1.64527782e-02	-1.19921692e-02	-4.46060902e-03
340             	9.70044310e-01	4.84161055e-01	4.85883255e-01	-2.75442239e-03	-5.91325985e-04	-2.16309640e-03	7.85885210e-04	-8.61099579e-04	-3.66162627e-03	-1.62284192e-02	-1.17758359e-02	-4.45258332e-03
350             	9.76570617e-01	4.87381947e-01	4.89188670e-01	-2.19544893e-03	-3.11978777e-04	-1.88347016e-03	7.85745689e-04	-9.03361548e-04	-3.58161066e-03	-1.61109942e-02	-1.16371078e-02	-4.47388643e-03
360             	9.83181146e-01	4.90666217e-01	4.92514929e-01	-1.83275556e-03	-1.35660294e-04	-1.69709527e-03	7.80717487e-04	-9.24356032e-04	-3.50471376e-03	-1.61297198e-02	-1.15695737e-02	-4.56014614e-03
370             	9.90011091e-01	4.94078983e-01	4.95932108e-01	-1.64368276e-03	-5.59116168e-05	-1.58777115e-03	7.65929764e-04	-9.26562691e-04	-3.43607511e-03	-1.62458085e-02	-1.15589794e-02	-4.68682916e-03
380             	9.97007915e-01	4.97590649e-01	4.99417266e-01	-1.56604509e-03	-3.35844325e-05	-1.53246066e-03	7.49438114e-04	-9.13308791e-04	-3.36747305e-03	-1.64259584e-02	-1.15804523e-02	-4.84550616e-03
390             	1.00409081e+00	5.01161303e-01	5.02929511e-01	-1.62424468e-03	-7.90392488e-05	-1.54520543e-03	7.33083093e-04	-8.84103587e-04	-3.29368522e-03	-1.65879880e-02	-1.15876792e-02	-5.00030878e-03
