# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e-02
# Aref          : 4.00000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
210             	1.20583236e-02	6.03413661e-03	6.02418701e-03	-6.00552980e-04	-2.41939049e-04	-3.58613931e-04	5.83374410e-05	4.97479985e-06	-7.11722289e-03	-7.23380228e-04	-7.47891300e-03	6.75553277e-03
220             	1.20543873e-02	6.03051333e-03	6.02387400e-03	-6.28617082e-04	-2.57621085e-04	-3.70995997e-04	5.66874562e-05	3.31966392e-06	-7.11363326e-03	-6.11183645e-04	-7.41922508e-03	6.80804143e-03
230             	1.20561780e-02	6.03079401e-03	6.02538398e-03	-6.46881343e-04	-2.67283486e-04	-3.79597857e-04	5.61571856e-05	2.70501680e-06	-7.11291663e-03	-5.22896246e-04	-7.37436475e-03	6.85146851e-03
240             	1.20534416e-02	6.02959637e-03	6.02384524e-03	-6.63040525e-04	-2.75079027e-04	-3.87961499e-04	5.64412360e-05	2.87556890e-06	-7.11127540e-03	-4.67364381e-04	-7.34495760e-03	6.87759321e-03
250             	1.20420391e-02	6.02409090e-03	6.01794821e-03	-6.83547384e-04	-2.85049730e-04	-3.98497654e-04	5.67239617e-05	3.07134544e-06	-7.10691969e-03	-4.40153243e-04	-7.32699631e-03	6.88684306e-03
260             	1.20218523e-02	6.01383048e-03	6.00802187e-03	-7.10184173e-04	-2.98630871e-04	-4.11553302e-04	5.64612152e-05	2.90430672e-06	-7.10030068e-03	-4.26206799e-04	-7.31340408e-03	6.88719728e-03
270             	1.19973985e-02	6.00131316e-03	5.99608530e-03	-7.41600783e-04	-3.14857332e-04	-4.26743451e-04	5.59430594e-05	2.61392984e-06	-7.09265972e-03	-4.09876539e-04	-7.29759799e-03	6.88772145e-03
280             	1.19738305e-02	5.98971286e-03	5.98411763e-03	-7.74642500e-04	-3.31484644e-04	-4.43157856e-04	5.58366061e-05	2.79761706e-06	-7.08498572e-03	-3.85460684e-04	-7.27771606e-03	6.89225538e-03
290             	1.19539654e-02	5.98072811e-03	5.97323729e-03	-8.07421196e-04	-3.47218510e-04	-4.60202686e-04	5.64920882e-05	3.74540701e-06	-7.07729926e-03	-3.55816491e-04	-7.25520750e-03	6.89939101e-03
300             	1.19389577e-02	5.97480070e-03	5.96415704e-03	-8.43535401e-04	-3.63823341e-04	-4.79712061e-04	5.79443599e-05	5.32183225e-06	-7.06923155e-03	-3.29012705e-04	-7.23373790e-03	6.90472520e-03
310             	1.19278924e-02	5.97087125e-03	5.95702117e-03	-8.87865187e-04	-3.84330419e-04	-5.03534768e-04	5.96021747e-05	6.92504021e-06	-7.06082373e-03	-3.11406116e-04	-7.21652678e-03	6.90512067e-03
320             	1.19187599e-02	5.96738644e-03	5.95137348e-03	-9.43173880e-04	-4.10727130e-04	-5.32446750e-04	6.08598099e-05	8.00647773e-06	-7.05261496e-03	-3.03195143e-04	-7.20421253e-03	6.90101738e-03
330             	1.19116799e-02	5.96430491e-03	5.94737502e-03	-1.00886932e-03	-4.42896250e-04	-5.65973065e-04	6.15384074e-05	8.46494219e-06	-7.04527179e-03	-2.99881394e-04	-7.19521249e-03	6.89533109e-03
340             	1.19076171e-02	5.96247445e-03	5.94514265e-03	-1.08221441e-03	-4.79085322e-04	-6.03129084e-04	6.20218811e-05	8.66589882e-06	-7.03931137e-03	-2.94874739e-04	-7.18674873e-03	6.89187400e-03
350             	1.19080762e-02	5.96312316e-03	5.94495305e-03	-1.16058115e-03	-5.17435560e-04	-6.43145587e-04	6.28550137e-05	9.08505980e-06	-7.03476181e-03	-2.84462844e-04	-7.17699323e-03	6.89253039e-03
360             	1.19139091e-02	5.96688454e-03	5.94702456e-03	-1.24308662e-03	-5.57217534e-04	-6.85869085e-04	6.43257754e-05	9.92998790e-06	-7.03138744e-03	-2.69438059e-04	-7.16610647e-03	6.89666841e-03
370             	1.19247364e-02	5.97336015e-03	5.95137621e-03	-1.33026941e-03	-5.98888041e-04	-7.31381365e-04	6.62466619e-05	1.09919721e-05	-7.02914120e-03	-2.53944295e-04	-7.15611335e-03	6.90216905e-03
380             	1.19398410e-02	5.98184811e-03	5.95799289e-03	-1.42334907e-03	-6.43480760e-04	-7.79868306e-04	6.81937728e-05	1.19276096e-05	-7.02807370e-03	-2.41973164e-04	-7.14906028e-03	6.90708712e-03
390             	1.19582888e-02	5.99156242e-03	5.96672639e-03	-1.52144111e-03	-6.91001131e-04	-8.30439979e-04	6.97194240e-05	1.24180179e-05	-7.02844348e-03	-2.34351989e-04	-7.14561947e-03	6.91126748e-03
400             	1.19796603e-02	6.00230142e-03	5.97735887e-03	-1.62206933e-03	-7.40284957e-04	-8.81784372e-04	7.07497072e-05	1.24712750e-05	-7.03030744e-03	-2.28620675e-04	-7.14461778e-03	6.91599711e-03
410             	1.20034834e-02	6.01394935e-03	5.98953404e-03	-1.72205280e-03	-7.89584128e-04	-9.32468667e-04	7.14422693e-05	1.22076549e-05	-7.03345127e-03	-2.21299105e-04	-7.14410082e-03	6.92280172e-03
420             	1.20297121e-02	6.02665191e-03	6.00306021e-03	-1.81748602e-03	-8.36805289e-04	-9.80680734e-04	7.19377226e-05	1.17958508e-05	-7.03744926e-03	-2.10271429e-04	-7.14258498e-03	6.93231355e-03
430             	1.20574953e-02	6.04000389e-03	6.01749140e-03	-1.90528876e-03	-8.80455594e-04	-1.02483316e-03	7.21887848e-05	1.12562461e-05	-7.04194684e-03	-1.95941148e-04	-7.13991741e-03	6.94397627e-03
440             	1.20857540e-02	6.05332870e-03	6.03242529e-03	-1.98296930e-03	-9.19516912e-04	-1.06345239e-03	7.19677391e-05	1.04517033e-05	-7.04685718e-03	-1.80106436e-04	-7.13691040e-03	6.95680396e-03
450             	1.21129569e-02	6.06577507e-03	6.04718188e-03	-2.04788334e-03	-9.52888881e-04	-1.09499446e-03	7.10527899e-05	9.29659526e-06	-7.05221014e-03	-1.65372456e-04	-7.13489637e-03	6.96952391e-03
460             	1.21379216e-02	6.07678712e-03	6.06113447e-03	-2.09873337e-03	-9.79880813e-04	-1.11885256e-03	6.94858733e-05	7.82632588e-06	-7.05794238e-03	-1.53377971e-04	-7.13463137e-03	6.98125340e-03
470             	1.21597708e-02	6.08614965e-03	6.07362115e-03	-2.13453109e-03	-9.99795683e-04	-1.13473540e-03	6.74698607e-05	6.26425111e-06	-7.06397363e-03	-1.43010013e-04	-7.13547863e-03	6.99246862e-03
480             	1.21785489e-02	6.09418028e-03	6.08436859e-03	-2.15516987e-03	-1.01219756e-03	-1.14297231e-03	6.53873788e-05	4.90584834e-06	-7.07008571e-03	-1.32436101e-04	-7.13630376e-03	7.00386766e-03
490             	1.21934541e-02	6.10055432e-03	6.09289977e-03	-2.16151383e-03	-1.01734006e-03	-1.14417377e-03	6.34168531e-05	3.82727838e-06	-7.07598797e-03	-1.20244082e-04	-7.13611001e-03	7.01586593e-03
500             	1.22041415e-02	6.10511058e-03	6.09903088e-03	-2.15571025e-03	-1.01623445e-03	-1.13947580e-03	6.16206762e-05	3.03984963e-06	-7.08139605e-03	-1.06649893e-04	-7.13472099e-03	7.02807110e-03
510             	1.22108506e-02	6.10797801e-03	6.10287264e-03	-2.14103016e-03	-1.01045633e-03	-1.13057383e-03	6.00587488e-05	2.55268656e-06	-7.08623970e-03	-9.31555142e-05	-7.13281746e-03	7.03966194e-03
520             	1.22140033e-02	6.10933530e-03	6.10466798e-03	-2.12116577e-03	-1.00178729e-03	-1.11937848e-03	5.87955967e-05	2.33365774e-06	-7.09048384e-03	-8.10758700e-05	-7.13102178e-03	7.04994591e-03
530             	1.22143226e-02	6.10956027e-03	6.10476235e-03	-2.09997575e-03	-9.92061703e-04	-1.10791405e-03	5.79261732e-05	2.39896112e-06	-7.09397273e-03	-7.09957274e-05	-7.12947059e-03	7.05847487e-03
540             	1.22125707e-02	6.10899844e-03	6.10357224e-03	-2.08064904e-03	-9.82831103e-04	-1.09781794e-03	5.74934168e-05	2.71310248e-06	-7.09652206e-03	-6.29842336e-05	-7.12801417e-03	7.06502994e-03
