# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	9.62777790e-01	4.82030270e-01	4.80747520e-01	-1.69149638e-02	-1.91565138e-03	-1.49993124e-02	6.54183051e-03	6.41375050e-04	-4.14019636e-03	3.41884839e-03	-2.43077217e-03	5.84962056e-03
20              	1.98445063e+00	9.93750856e-01	9.90699776e-01	-7.05370101e-03	-8.67477440e-03	1.62107339e-03	-5.14792390e-03	1.52554032e-03	1.81778103e-03	1.76357375e-03	2.69956791e-03	-9.35994160e-04
30              	3.30073526e-01	1.64718266e-01	1.65355260e-01	-1.05893929e-02	-8.20629377e-03	-2.38309917e-03	-2.91159730e-03	-3.18497052e-04	-3.67828178e-03	-1.07937405e-03	-4.21796881e-03	3.13859476e-03
40              	5.73174266e-01	2.85643379e-01	2.87530887e-01	-3.95376997e-03	-5.13022642e-04	-3.44074733e-03	1.46386234e-03	-9.43753635e-04	-1.07000359e-03	5.82941300e-03	1.84470291e-03	3.98471009e-03
50              	6.47210049e-01	3.22364303e-01	3.24845746e-01	-7.35191444e-03	-2.73940951e-03	-4.61250493e-03	9.36547711e-04	-1.24072153e-03	-5.97106980e-04	4.15705967e-03	1.48142286e-03	2.67563682e-03
60              	6.36805909e-01	3.18082728e-01	3.18723181e-01	-1.02642497e-02	-3.13371132e-03	-7.13053839e-03	1.99841354e-03	-3.20226603e-04	-3.80735785e-04	5.01110084e-03	2.12481463e-03	2.88628620e-03
70              	6.60927123e-01	3.30203291e-01	3.30723832e-01	-9.93424288e-03	-3.11216793e-03	-6.82207496e-03	1.85495352e-03	-2.60270291e-04	1.96703352e-03	5.19331679e-03	4.56369191e-03	6.29624878e-04
80              	6.69008409e-01	3.34476807e-01	3.34531602e-01	-5.66639403e-03	-5.35212979e-04	-5.13118105e-03	2.29798404e-03	-2.73978875e-05	4.75879362e-03	7.83684585e-03	8.67721654e-03	-8.40370696e-04
90              	6.73538870e-01	3.36655343e-01	3.36883527e-01	-2.41308634e-03	1.62831415e-03	-4.04140049e-03	2.83485732e-03	-1.14091771e-04	6.46768361e-03	8.12558136e-03	1.05304743e-02	-2.40489293e-03
100             	6.75748463e-01	3.37658614e-01	3.38089849e-01	-3.19851610e-03	1.75001752e-03	-4.94853362e-03	3.34927557e-03	-2.15617226e-04	7.90242848e-03	8.28542063e-03	1.20451388e-02	-3.75971817e-03
110             	6.77986025e-01	3.39022478e-01	3.38963547e-01	-3.99726839e-03	1.86986245e-03	-5.86713084e-03	3.86849664e-03	2.94652125e-05	8.11591109e-03	8.87704484e-03	1.25544335e-02	-3.67738866e-03
120             	6.79567782e-01	3.39899022e-01	3.39668760e-01	-4.06874366e-03	1.94662680e-03	-6.01537046e-03	3.98099863e-03	1.15131437e-04	7.79213238e-03	8.80863819e-03	1.21964515e-02	-3.38781328e-03
130             	6.80355137e-01	3.40364601e-01	3.39990537e-01	-4.32048198e-03	1.59075588e-03	-5.91123786e-03	3.75099687e-03	1.87031987e-04	7.57837675e-03	8.97208983e-03	1.20644217e-02	-3.09233183e-03
140             	6.80681378e-01	3.40636859e-01	3.40044519e-01	-4.58373656e-03	1.29084271e-03	-5.87457927e-03	3.58271099e-03	2.96169958e-04	7.36075500e-03	9.36959600e-03	1.20455530e-02	-2.67595700e-03
150             	6.80665886e-01	3.40706601e-01	3.39959286e-01	-4.87092305e-03	1.03171429e-03	-5.90263735e-03	3.46717582e-03	3.73657364e-04	7.05722931e-03	9.88849999e-03	1.20014793e-02	-2.11297932e-03
160             	6.80434306e-01	3.40642049e-01	3.39792257e-01	-5.05143619e-03	7.43974777e-04	-5.79541096e-03	3.26969287e-03	4.24895954e-04	6.71067470e-03	1.02980940e-02	1.18597217e-02	-1.56162771e-03
170             	6.80109706e-01	3.40528967e-01	3.39580739e-01	-5.18411972e-03	4.62179639e-04	-5.64629936e-03	3.05423950e-03	4.74113642e-04	6.42003124e-03	1.06022669e-02	1.17211647e-02	-1.11889781e-03
180             	6.79765475e-01	3.40395436e-01	3.39370039e-01	-5.37828613e-03	2.06714113e-04	-5.58500024e-03	2.89585718e-03	5.12698835e-04	6.18434251e-03	1.07306558e-02	1.15496704e-02	-8.19014603e-04
190             	6.79505935e-01	3.40283374e-01	3.39222561e-01	-5.53359656e-03	8.50627555e-06	-5.54210284e-03	2.77530456e-03	5.30406108e-04	5.99041914e-03	1.08680136e-02	1.14244260e-02	-5.56412329e-04
200             	6.79317143e-01	3.40201811e-01	3.39115332e-01	-5.69609183e-03	-1.84917299e-04	-5.51117453e-03	2.66312862e-03	5.43239203e-04	5.81798558e-03	1.11035507e-02	1.13697609e-02	-2.66210241e-04
210             	6.79141320e-01	3.40123061e-01	3.39018260e-01	-5.80586918e-03	-3.41781899e-04	-5.46408728e-03	2.56115269e-03	5.52400526e-04	5.67459086e-03	1.12786390e-02	1.13139104e-02	-3.52713469e-05
