# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# magUInf       : 2.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	1.91088235e-01	9.55198010e-02	9.55684335e-02	-2.32462339e-02	-6.31350826e-02	3.98888486e-02	-5.15119656e-02	-2.43162712e-05	1.88803383e-04	2.70117995e-03	1.53939336e-03	1.16178659e-03
20              	1.42563901e+00	7.13157919e-01	7.12481086e-01	3.29427105e-01	1.82001414e-01	1.47425691e-01	1.72878611e-02	3.38416952e-04	-3.24447534e-04	1.55644518e-03	4.53775058e-04	1.10267013e-03
30              	7.06857625e-01	3.52432280e-01	3.54425345e-01	4.49505945e-02	3.77939131e-02	7.15668148e-03	1.53186158e-02	-9.96532707e-04	9.76208904e-05	3.84586142e-03	2.02055160e-03	1.82530982e-03
40              	5.38056319e-01	2.68014442e-01	2.70041876e-01	2.17489023e-01	8.99211222e-02	1.27567900e-01	-1.88233891e-02	-1.01371710e-03	1.02685159e-03	2.00020254e-03	2.02695286e-03	-2.67503213e-05
50              	5.10796635e-01	2.54755848e-01	2.56040787e-01	3.56092982e-01	1.66311743e-01	1.89781239e-01	-1.17347480e-02	-6.42469910e-04	1.41260963e-03	4.39832001e-04	1.63252563e-03	-1.19269363e-03
60              	4.78071572e-01	2.38696806e-01	2.39374766e-01	3.58829488e-01	1.65646727e-01	1.93182761e-01	-1.37680171e-02	-3.38979802e-04	2.50484106e-04	3.24410004e-03	1.87253413e-03	1.37156591e-03
70              	4.72871518e-01	2.35995940e-01	2.36875578e-01	4.55628384e-01	2.11164407e-01	2.44463977e-01	-1.66497847e-02	-4.39819028e-04	-3.30839979e-05	8.33251217e-04	3.83541610e-04	4.49709606e-04
80              	4.76186054e-01	2.38016548e-01	2.38169506e-01	4.54829815e-01	2.15645045e-01	2.39184770e-01	-1.17698626e-02	-7.64791318e-05	-1.49863012e-04	1.15145559e-03	4.25864784e-04	7.25590808e-04
90              	4.70891607e-01	2.35267911e-01	2.35623696e-01	4.65461173e-01	2.19065859e-01	2.46395315e-01	-1.36647281e-02	-1.77892642e-04	1.27886411e-04	8.14113250e-04	5.34943036e-04	2.79170213e-04
100             	4.77547840e-01	2.38016234e-01	2.39531606e-01	5.18225613e-01	2.44368207e-01	2.73857405e-01	-1.47445992e-02	-7.57686032e-04	1.61445105e-04	-6.56016654e-05	1.28644273e-04	-1.94245938e-04
110             	4.71020682e-01	2.35325217e-01	2.35695465e-01	4.87408285e-01	2.32172319e-01	2.55235966e-01	-1.15318238e-02	-1.85124239e-04	1.03166061e-04	1.19593870e-03	7.01135413e-04	4.94803291e-04
120             	4.72949977e-01	2.36284234e-01	2.36665743e-01	5.22454881e-01	2.45296992e-01	2.77157889e-01	-1.59304482e-02	-1.90754538e-04	-9.39918367e-06	4.51717323e-04	2.16459478e-04	2.35257845e-04
130             	4.76039389e-01	2.37710267e-01	2.38329122e-01	5.10884630e-01	2.42321769e-01	2.68562860e-01	-1.31205455e-02	-3.09427668e-04	-2.49125190e-04	4.02402114e-04	-4.79241333e-05	4.50326247e-04
140             	4.75461360e-01	2.37480643e-01	2.37980717e-01	5.18939249e-01	2.44807609e-01	2.74131640e-01	-1.46620156e-02	-2.50037061e-04	-2.07980798e-04	9.16595342e-04	2.50316873e-04	6.66278469e-04
150             	4.79790577e-01	2.39703889e-01	2.40086687e-01	5.31438560e-01	2.50745142e-01	2.80693418e-01	-1.49741383e-02	-1.91398876e-04	-7.38786383e-05	1.40972710e-03	6.30984914e-04	7.78742190e-04
160             	4.78933783e-01	2.39194151e-01	2.39739632e-01	5.25413369e-01	2.48629692e-01	2.76783677e-01	-1.40769923e-02	-2.72740876e-04	-2.27128315e-04	4.32462050e-04	-1.08972901e-05	4.43359340e-04
170             	4.80517026e-01	2.39945668e-01	2.40571359e-01	5.36374160e-01	2.53041274e-01	2.83332886e-01	-1.51458062e-02	-3.12845582e-04	-2.46115784e-05	1.04045237e-03	4.95614609e-04	5.44837765e-04
180             	4.83663468e-01	2.41444900e-01	2.42218568e-01	5.36848099e-01	2.53441970e-01	2.83406129e-01	-1.49820792e-02	-3.86833745e-04	3.50086035e-06	1.19811329e-03	6.02557505e-04	5.95555784e-04
190             	4.85344038e-01	2.42244843e-01	2.43099195e-01	5.44725856e-01	2.57035285e-01	2.87690571e-01	-1.53276433e-02	-4.27175653e-04	-1.66027131e-04	8.88663787e-04	2.78304762e-04	6.10359025e-04
200             	4.89428411e-01	2.44308728e-01	2.45119683e-01	5.50193936e-01	2.59647842e-01	2.90546094e-01	-1.54491262e-02	-4.05477537e-04	-3.67923854e-05	1.50196433e-03	7.14189780e-04	7.87774551e-04
210             	4.91480968e-01	2.45417596e-01	2.46063372e-01	5.54787471e-01	2.61723811e-01	2.93063661e-01	-1.56699251e-02	-3.22888269e-04	-6.11203548e-05	1.63327865e-03	7.55518968e-04	8.77759678e-04
220             	4.93284363e-01	2.46223360e-01	2.47061003e-01	5.61454556e-01	2.64783214e-01	2.96671342e-01	-1.59440640e-02	-4.18821425e-04	-8.48179258e-05	1.37866005e-03	6.04512099e-04	7.74147951e-04
