# Force and moment coefficients
# dragDir       : (8.66019053e-01 0.00000000e+00 5.00011000e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-5.00011000e-01 0.00000000e+00 8.66019053e-01)
# rollAxis      : (8.66019053e-01 0.00000000e+00 5.00011000e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-5.00011000e-01 0.00000000e+00 8.66019053e-01)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
210             	4.97725361e-01	2.46532726e-01	2.51192636e-01	2.44984402e-01	1.26377182e-01	1.18607220e-01	3.88498103e-03	-2.32995492e-03	-4.77193493e-04	3.82303011e-03	1.43432156e-03	2.38870855e-03
220             	4.99796554e-01	2.50728559e-01	2.49067996e-01	2.47232776e-01	1.31005731e-01	1.16227045e-01	7.38934326e-03	8.30281410e-04	-1.70952464e-03	-2.75663128e-03	-3.08784028e-03	3.31209001e-04
230             	5.01359846e-01	2.52829267e-01	2.48530579e-01	2.54957659e-01	1.35341569e-01	1.19616090e-01	7.86273980e-03	2.14934400e-03	-2.18090783e-03	-2.12965009e-04	-2.28739033e-03	2.07442533e-03
240             	5.03384305e-01	2.53438621e-01	2.49945684e-01	2.59012503e-01	1.36369719e-01	1.22642784e-01	6.86346775e-03	1.74646873e-03	-1.74582471e-03	3.41963730e-03	-3.60060627e-05	3.45564336e-03
250             	5.02273824e-01	2.51995025e-01	2.50278800e-01	2.53085224e-01	1.33865449e-01	1.19219775e-01	7.32283702e-03	8.58112556e-04	-1.20673151e-03	6.15607733e-03	1.87130716e-03	4.28477018e-03
260             	5.01654296e-01	2.50777226e-01	2.50877070e-01	2.51678522e-01	1.33033724e-01	1.18644798e-01	7.19446305e-03	-4.99218965e-05	-7.32024674e-04	7.32454733e-03	2.93024899e-03	4.39429834e-03
270             	5.01884609e-01	2.50870250e-01	2.51014360e-01	2.58722121e-01	1.35824858e-01	1.22897263e-01	6.46379781e-03	-7.20551131e-05	-9.21258502e-04	2.51477431e-03	3.36128655e-04	2.17864566e-03
280             	5.02685286e-01	2.51151701e-01	2.51533585e-01	2.66953293e-01	1.39617318e-01	1.27335975e-01	6.14067115e-03	-1.90941877e-04	-1.31793530e-03	1.48540783e-03	-5.75231384e-04	2.06063921e-03
290             	5.03844000e-01	2.51411565e-01	2.52432435e-01	2.68948357e-01	1.41407590e-01	1.27540767e-01	6.93341146e-03	-5.10435159e-04	-1.26684823e-03	5.15644721e-03	1.31137537e-03	3.84507183e-03
300             	5.03996107e-01	2.52006177e-01	2.51989930e-01	2.68009652e-01	1.41486289e-01	1.26523363e-01	7.48146295e-03	8.12340333e-06	-1.47164932e-03	6.59129377e-03	1.82399757e-03	4.76729620e-03
