speed_m_s,angle_deg,Cd,Cl,Cm,Fx_N,Fy_N,Fz_N,rho_kg_m3,case_name,timestamp
0.5,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A0.0,2026-06-20T22:27:11.060332
0.5,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A11.2,2026-06-20T22:27:14.455195
0.5,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A22.5,2026-06-20T22:27:17.865962
0.5,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A33.8,2026-06-20T22:27:21.303306
0.5,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A45.0,2026-06-20T22:27:24.684728
1.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A0.0,2026-06-20T22:27:28.083237
1.0,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A11.2,2026-06-20T22:27:31.512124
1.0,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A22.5,2026-06-20T22:27:35.004881
1.0,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A33.8,2026-06-20T22:27:38.365158
1.0,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A45.0,2026-06-20T22:27:41.771413
1.5,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A0.0,2026-06-20T22:27:45.184193
1.5,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A11.2,2026-06-20T22:27:48.572120
1.5,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A22.5,2026-06-20T22:27:52.114726
1.5,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A33.8,2026-06-20T22:27:55.522348
1.5,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A45.0,2026-06-20T22:27:58.867760
2.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A0.0,2026-06-20T22:28:02.302818
2.0,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A11.2,2026-06-20T22:28:05.664467
2.0,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A22.5,2026-06-20T22:28:09.050359
2.0,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A33.8,2026-06-20T22:28:12.762240
2.0,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A45.0,2026-06-20T22:28:16.121740
