speed_m_s,angle_deg,Cd,Cl,Cm,Fx_N,Fy_N,Fz_N,rho_kg_m3,case_name,timestamp
1.0,45.0,0.6505002262999999,0.7210964619,-0.02277449036,nan,nan,nan,1025.0,unit_cell_U1.00_A45.0,2026-06-22T08:48:20.959801
1.0,90.0,1.171542672,-0.011911943380000001,0.001937008586,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0,2026-06-22T08:49:34.567680
2.0,45.0,0.5360926767,0.6471274251000001,-0.01969889838,nan,nan,nan,1025.0,unit_cell_U2.00_A45.0,2026-06-22T08:50:47.228436
2.0,90.0,1.05135832,-0.002659004147,0.0005201555662,nan,nan,nan,1025.0,unit_cell_U2.00_A90.0,2026-06-22T08:52:00.754323
