speed_m_s,angle_deg,Cd,Cl,Cm,Fx_N,Fy_N,Fz_N,rho_kg_m3,case_name,timestamp
0.5,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A0.0,2026-06-17T22:32:02.432681
0.5,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A11.2,2026-06-17T22:32:03.886938
0.5,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A22.5,2026-06-17T22:32:05.358478
0.5,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A33.8,2026-06-17T22:32:06.817827
0.5,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U0.50_A45.0,2026-06-17T22:32:08.286819
1.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A0.0,2026-06-17T22:32:09.754216
1.0,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A11.2,2026-06-17T22:32:11.243923
1.0,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A22.5,2026-06-17T22:32:12.817461
1.0,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A33.8,2026-06-17T22:32:14.312834
1.0,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A45.0,2026-06-17T22:32:15.785624
1.5,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A0.0,2026-06-17T22:32:17.234274
1.5,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A11.2,2026-06-17T22:32:18.687029
1.5,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A22.5,2026-06-17T22:32:20.143124
1.5,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A33.8,2026-06-17T22:32:21.618753
1.5,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.50_A45.0,2026-06-17T22:32:23.136016
2.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A0.0,2026-06-17T22:32:24.803326
2.0,11.25,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A11.2,2026-06-17T22:32:26.295831
2.0,22.5,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A22.5,2026-06-17T22:32:27.778999
2.0,33.75,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A33.8,2026-06-17T22:32:29.267521
2.0,45.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U2.00_A45.0,2026-06-17T22:32:30.743839
