# Force and moment coefficients
# dragDir       : (5.00011000e-01 0.00000000e+00 8.66019053e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-8.66019053e-01 0.00000000e+00 5.00011000e-01)
# rollAxis      : (5.00011000e-01 0.00000000e+00 8.66019053e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-8.66019053e-01 0.00000000e+00 5.00011000e-01)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	2.89976258e-01	1.43953256e-01	1.46023003e-01	-2.02207921e-01	-1.25841615e-01	-7.63663060e-02	-2.47376544e-02	-1.03487359e-03	5.19630700e-04	-1.50892777e-03	-2.34833185e-04	-1.27409459e-03
20              	1.82030179e+00	9.10252025e-01	9.10049768e-01	-2.18971679e-01	-1.07328427e-01	-1.11643251e-01	2.15741202e-03	1.01128811e-04	-1.38818352e-03	3.12367121e-03	1.73652082e-04	2.95001912e-03
30              	1.01684298e+00	5.08171600e-01	5.08671376e-01	-1.14899702e-02	-1.68501900e-02	5.36021979e-03	-1.11052049e-02	-2.49887856e-04	-1.21555881e-03	4.49628210e-03	1.03258224e-03	3.46369986e-03
40              	7.36331991e-01	3.67570956e-01	3.68761036e-01	2.92688796e-01	1.35740013e-01	1.56948782e-01	-1.06043846e-02	-5.95039958e-04	1.79957812e-05	4.19300733e-03	2.11449945e-03	2.07850789e-03
50              	7.49401919e-01	3.74287129e-01	3.75114790e-01	5.00995977e-01	2.34402568e-01	2.66593409e-01	-1.60954208e-02	-4.13830460e-04	4.79984140e-05	8.09405347e-03	4.09502515e-03	3.99902832e-03
60              	7.27149041e-01	3.63986432e-01	3.63162609e-01	5.36814281e-01	2.55143287e-01	2.81670995e-01	-1.32638540e-02	4.11911766e-04	4.05035021e-04	7.18966532e-03	3.99986768e-03	3.18979764e-03
70              	7.22097280e-01	3.61198048e-01	3.60899232e-01	5.88521394e-01	2.80776841e-01	3.07744553e-01	-1.34838559e-02	1.49408254e-04	2.28055979e-04	1.06222727e-02	5.53919234e-03	5.08308039e-03
80              	7.25837998e-01	3.62648181e-01	3.63189817e-01	6.02845812e-01	2.88126869e-01	3.14718942e-01	-1.32960366e-02	-2.70817857e-04	-3.03478343e-04	-4.96630074e-04	-5.51793380e-04	5.51633058e-05
90              	7.26518300e-01	3.64274042e-01	3.62244258e-01	6.15806934e-01	2.91627417e-01	3.24179517e-01	-1.62760503e-02	1.01489159e-03	-3.76242636e-04	-1.92816363e-03	-1.34032445e-03	-5.87839177e-04
100             	7.41462147e-01	3.71405465e-01	3.70056682e-01	6.45817277e-01	3.09242732e-01	3.36574544e-01	-1.36659061e-02	6.74391539e-04	4.39555538e-04	1.15517495e-03	1.01714301e-03	1.38031937e-04
110             	7.46391050e-01	3.73773359e-01	3.72617691e-01	6.51239382e-01	3.11534869e-01	3.39704513e-01	-1.40848216e-02	5.77833577e-04	-1.03017387e-04	3.32490658e-03	1.55943590e-03	1.76547068e-03
120             	7.44868013e-01	3.72560882e-01	3.72307131e-01	6.41167864e-01	3.06862680e-01	3.34305183e-01	-1.37212513e-02	1.26875206e-04	-7.08127412e-05	2.59777872e-03	1.22807662e-03	1.36970210e-03
130             	7.53480868e-01	3.76332125e-01	3.77148743e-01	6.68984357e-01	3.20037980e-01	3.48946377e-01	-1.44541988e-02	-4.08308972e-04	2.17539663e-04	5.87704471e-03	3.15606202e-03	2.72098269e-03
140             	7.65374794e-01	3.82856261e-01	3.82518533e-01	6.76541009e-01	3.24165086e-01	3.52375923e-01	-1.41054185e-02	1.68864034e-04	4.76886482e-04	4.40919438e-03	2.68148367e-03	1.72771071e-03
150             	7.60277411e-01	3.80762030e-01	3.79515381e-01	6.63045491e-01	3.16716905e-01	3.46328586e-01	-1.48058405e-02	6.23324845e-04	4.16528314e-04	3.26200968e-03	2.04753315e-03	1.21447652e-03
160             	7.69308071e-01	3.85004153e-01	3.84303919e-01	6.82387453e-01	3.26617247e-01	3.55770206e-01	-1.45764795e-02	3.50117015e-04	5.30630137e-05	3.93612598e-03	2.02112600e-03	1.91499998e-03
170             	7.81764881e-01	3.91354777e-01	3.90410104e-01	6.94461273e-01	3.32677095e-01	3.61784178e-01	-1.45535414e-02	4.72336629e-04	2.69731033e-05	4.44489522e-03	2.24942071e-03	2.19547451e-03
180             	7.79241375e-01	3.90085458e-01	3.89155917e-01	6.85286782e-01	3.27586355e-01	3.57700427e-01	-1.50570360e-02	4.64770347e-04	-9.88598886e-05	3.90880378e-03	1.85554200e-03	2.05326178e-03
190             	7.86294755e-01	3.93615310e-01	3.92679444e-01	7.03106536e-01	3.36245329e-01	3.66861207e-01	-1.53079389e-02	4.67933042e-04	-5.07507192e-05	3.14163442e-03	1.52006649e-03	1.62156793e-03
200             	7.98614180e-01	4.00022172e-01	3.98592008e-01	7.17087885e-01	3.43326649e-01	3.73761236e-01	-1.52172936e-02	7.15082149e-04	-1.25506110e-04	2.80032322e-03	1.27465550e-03	1.52566772e-03
210             	7.97440789e-01	3.99499195e-01	3.97941594e-01	7.13022749e-01	3.40902148e-01	3.72120602e-01	-1.56092270e-02	7.78800528e-04	-4.61370075e-04	2.86341735e-03	9.70338598e-04	1.89307875e-03
220             	8.03539157e-01	4.02382196e-01	4.01156961e-01	7.29522321e-01	3.48935482e-01	3.80586838e-01	-1.58256779e-02	6.12617693e-04	-4.93224995e-04	3.60556387e-03	1.30955694e-03	2.29600693e-03
230             	8.14015607e-01	4.07620306e-01	4.06395300e-01	7.41086948e-01	3.55055219e-01	3.86031728e-01	-1.54882545e-02	6.12503086e-04	-4.80674666e-04	4.09855491e-03	1.56860279e-03	2.52995212e-03
240             	8.13601644e-01	4.07484270e-01	4.06117374e-01	7.38030630e-01	3.53175212e-01	3.84855418e-01	-1.58401033e-02	6.83448024e-04	-5.92011866e-04	3.99475124e-03	1.40536376e-03	2.58938749e-03
250             	8.19858198e-01	4.10416337e-01	4.09441860e-01	7.53162934e-01	3.60433807e-01	3.92729127e-01	-1.61476597e-02	4.87238582e-04	-5.64994379e-04	3.71631957e-03	1.29316541e-03	2.42315417e-03
260             	8.29879797e-01	4.15240917e-01	4.14638881e-01	7.63727851e-01	3.65897030e-01	3.97830821e-01	-1.59668958e-02	3.01017952e-04	-5.63970516e-04	2.37153333e-03	6.21796148e-04	1.74973718e-03
270             	8.30563934e-01	4.15415491e-01	4.15148443e-01	7.61888940e-01	3.64586410e-01	3.97302530e-01	-1.63580601e-02	1.33524282e-04	-6.47820157e-04	1.15697118e-03	-6.93345645e-05	1.22630575e-03
280             	8.37161691e-01	4.18563811e-01	4.18597880e-01	7.76246044e-01	3.71258371e-01	4.04987673e-01	-1.68646507e-02	-1.70342184e-05	-5.41978017e-04	7.02814153e-04	-1.90570941e-04	8.93385094e-04
290             	8.47039606e-01	4.23559177e-01	4.23480429e-01	7.87104376e-01	3.76904142e-01	4.10200234e-01	-1.66480464e-02	3.93737314e-05	-4.44354271e-04	1.12543908e-03	1.18365268e-04	1.00707381e-03
300             	8.48258922e-01	4.24198465e-01	4.24060457e-01	7.86693376e-01	3.76243747e-01	4.10449629e-01	-1.71029411e-02	6.90036939e-05	-2.76445769e-04	1.26202921e-03	3.54568834e-04	9.07460372e-04
310             	8.54292855e-01	4.27258046e-01	4.27034809e-01	8.00008990e-01	3.82515224e-01	4.17493765e-01	-1.74892707e-02	1.11618259e-04	-1.72735845e-04	1.50664651e-03	5.80587412e-04	9.26059102e-04
